,0,1
184,1388,527
185,1391,528
186,1403,531
187,1419,533
188,1433,535
189,1433,536
190,1435,537
191,1464,538
192,1465,540
193,1483,541
194,1498,542
195,1499,543
196,1590,544
197,1597,545
198,1616,546
199,1621,547
200,1622,548
201,1627,549
202,1645,550
203,1665,551
204,1687,552
205,1703,553
206,1705,554
207,1713,555
208,1781,556
209,1801,557
210,1808,558
211,1823,559
212,1834,560
213,1844,561
214,1864,562
215,1907,563
216,1909,564
217,1911,565
218,1920,566
219,1930,567
220,1953,569
221,1963,570
222,1973,571
223,1980,572
224,1982,573
225,2009,574
226,2033,575
227,2064,576
228,2073,577
229,2083,578
230,2214,579
231,2236,581
232,2278,584
233,2287,585
234,2305,586
235,2319,587
236,2321,588
237,2340,589
238,2360,590
239,2362,591
240,2364,592
241,2416,593
242,2464,594
243,2466,597
244,2481,598
245,2485,599
246,2501,601
247,2506,602
248,2525,603
249,2534,604
250,2553,605
251,2557,607
252,2611,608
253,2621,609
254,2628,613
255,2637,614
256,2643,615
257,2688,616
258,2689,617
259,2714,618
260,2738,620
261,2739,621
262,2744,622
263,2747,623
264,2767,624
265,2769,625
266,2782,627
267,2806,631
268,2865,633
269,2903,634
270,2920,635
271,2922,636
272,2982,639
273,2986,641
274,3015,644
275,3040,647
276,3044,648
277,3044,650
278,3083,651
279,3103,653
280,3162,654
281,3171,655
282,3190,656
283,3194,657
284,3215,658
285,3226,661
286,3278,662
287,3285,665
288,3326,666
289,3343,668
290,3370,669
291,3378,670
292,3388,671
293,3399,672
294,3403,673
295,3425,674
296,3461,675
297,3478,676
298,3510,677
299,3571,678
300,3571,681
301,3581,682
302,3600,683
303,3622,685
304,3641,686
305,3704,688
306,3710,689
307,3737,690
308,3738,691
309,3783,692
310,3834,694
311,3841,695
312,3900,696
313,3928,697
314,3929,698
315,3957,699
316,3981,700
317,4099,701
318,4152,702
319,4182,704
320,4203,706
321,4233,707
322,4256,708
323,4264,709
324,4299,710
325,4324,711
326,4332,712
327,4363,713
328,4386,715
329,4392,716
330,4416,718
331,4450,719
332,4455,720
333,4499,721
334,4513,722
335,4516,725
336,4578,727
337,4588,728
338,4607,729
339,4611,730
340,4647,733
341,4671,734
342,4769,735
343,4779,736
344,4836,737
345,4843,738
346,4862,739
347,4884,740
348,4922,741
349,4939,742
350,5003,743
351,5014,745
352,5042,746
353,5044,747
354,5059,748
355,5100,749
356,5188,750
357,5220,751
358,5254,752
359,5289,753
360,5305,754
361,5407,755
362,5439,756
363,5467,757
364,5552,758
365,5560,759
366,5603,760
367,5753,761
368,5782,762
369,5784,763
370,5843,764
371,5860,765
372,5892,766
373,5934,767
374,6006,769
375,6031,770
376,6119,771
377,6267,772
378,6286,773
379,6354,774
380,6402,775
381,6437,776
382,6447,777
383,6502,778
384,6527,779
385,6597,780
386,6609,781
387,6648,782
388,6649,784
389,6772,785
390,6785,786
391,6809,788
392,6870,789
393,6993,790
394,7054,791
395,7066,792
396,7105,793
397,7109,794
398,7327,795
399,7382,796
400,7407,797
401,7446,798
402,7492,799
403,7499,800
404,7524,801
405,7538,802
406,7559,803
407,7732,804
408,7765,805
409,7824,806
410,7885,807
411,8010,808
412,8130,809
413,8143,810
414,8203,811
415,8220,812
416,8242,813
417,8286,814
418,8354,815
419,8440,816
420,8458,817
421,8476,819
422,8484,820
423,8628,821
424,8723,823
425,8760,824
426,8777,825
427,8856,826
428,8861,827
429,8868,828
430,8938,829
431,8953,830
432,9033,831
433,9047,832
434,9122,834
435,9124,835
436,9125,836
437,9190,838
438,9253,839
439,9394,840
440,9511,841
441,9594,842
442,9614,843
443,9678,844
444,9842,845
445,9904,846
446,9932,847
447,10003,848
448,10009,849
449,10048,850
450,10091,852
451,10131,853
452,10185,854
453,10212,855
454,10275,856
455,10360,857
456,10360,858
457,10735,860
458,10810,861
459,10904,862
460,11151,863
461,11299,864
462,11335,865
463,11380,866
464,11516,867
465,11536,868
466,11629,870
467,11695,871
468,11833,872
469,11986,873
470,12253,874
471,13285,875
472,13395,876
473,13794,877
474,13841,878
475,13945,879
476,14063,880
477,14085,881
478,14139,882
479,14304,883
480,14615,885
481,14765,886
482,15075,887
483,15523,888
484,15672,889
485,15790,890
486,15838,891
487,15963,892
488,16227,893
489,16403,895
490,16405,896
491,16511,897
492,16566,898
493,16634,899
494,16849,900
495,17297,901
496,17349,902
497,17445,903
498,17559,904
499,17864,905
500,17902,906
501,18208,907
502,18290,908
503,18400,910
504,18691,911
505,18937,912
506,19155,913
507,19377,914
508,19599,915
509,19685,916
510,19816,917
511,19847,918
512,20133,920
513,20234,921
514,20575,922
515,21005,923
516,21490,924
517,21650,925
518,21936,926
519,21940,927
520,22265,928
521,22486,931
522,22717,932
523,23523,933
524,23523,934
525,24187,935
526,24732,936
527,24872,937
528,25153,938
529,25268,939
530,25396,940
531,25477,942
532,25631,943
533,25866,944
534,26008,945
535,26276,946
536,26780,947
537,27082,948
538,27688,949
539,29202,951
540,29499,952
541,29502,953
542,30448,956
543,30878,958
544,31668,959
545,31818,960
546,32153,961
547,32278,962
548,32525,964
549,32941,965
550,34380,966
551,37020,967
552,38545,968
553,39525,969
554,40395,970
555,41689,971
556,42141,972
557,44348,973
558,45313,974
559,57136,975
560,57896,976
561,58705,977
562,64491,978
563,73277,979
564,77975,980
565,80976,981
566,84746,982
